0.0.0-dev.2020062901-3	2020.06.29-r3
1.2.9b-par-3	1.2.9_beta-r3
1.2.9b-par-a8e46ccba7b0fa2230d6c42ab6dcd92926f6c21d	1.2.9_beta~a8e46ccb
2.3.3op2-1	2.3.3-r1
2.3.3op2-2	2.3.3-r2
2021-1.4.4	1.4.4
3.7.4-nnew-0	3.7.4-r0
3.7.4-nnew-2	3.7.4-r2
git-6f9e307-1	0.0.1~6f9e307-r1
svn1113-3	1113-r3
